"Timestamp","ข้อใดอธิบายตัวคุณได้ดีที่สุด?","คุณดำเนินการโฆษณาหรือแคมเปญบ่อยแค่ไหน?","คุณใช้ช่องทางใดบ้าง? (เลือกได้หลายข้อ)","เป้าหมายหลักของแคมเปญของคุณคืออะไร?","เมื่อวางแผนแคมเปญ โดยปกติแล้วคุณจะตัดสินใจเลือกอะไรเป็นอันดับแรก?","คุณตัดสินใจว่าจะทดสอบอะไรต่อไปได้อย่างไร? (เลือกได้หลายข้อ)","ส่วนที่ยากที่สุดในการเลือกการทดสอบครั้งต่อไปคืออะไร?","โดยปกติแล้ว คุณรู้สึกมั่นใจแค่ไหนเมื่อเลือกสิ่งที่จะทดสอบต่อไป?","โดยปกติแล้ว สิ่งใดที่ทำให้คุณมั่นใจว่าแนวคิดแคมเปญนั้นคุ้มค่าที่จะทดสอบ?","โดยปกติแล้ว สิ่งใดที่ทำให้คุณปฏิเสธแนวคิดแคมเปญ?","หลังจากแคมเปญทำงาน คุณมักจะตรวจสอบผลลัพธ์ใดบ้าง? (เลือกได้หลายข้อ)","คุณตัดสินใจว่าแคมเปญใช้งานได้ผลได้อย่างไร?","คุณบันทึกการเรียนรู้จากแคมเปญไว้ที่ใด?","จะเกิดอะไรขึ้นหลังจากแคมเปญไม่ทำงาน?","คุณนำการเรียนรู้จากแคมเปญที่ผ่านมากลับมาใช้บ่อยแค่ไหน?","คุณเคยใช้ AI สำหรับการตลาดหรือโฆษณาหรือไม่?","หากใช่ คุณใช้ AI เพื่ออะไร? (เลือกได้หลายข้อ)","อะไรที่ทำให้คำแนะนำด้านการตลาดของ AI รู้สึกว่ามีประโยชน์?","อะไรที่ทำให้คำแนะนำด้านการตลาดของ AI รู้สึกว่าเป็นแบบทั่วไปหรือมีความเสี่ยง?","หากเครื่องมือ AI แนะนำว่า “ทดสอบสิ่งนี้ก่อน” คุณต้องเห็นอะไรบ้างก่อนจึงจะเชื่อถือได้? (เลือกได้หลายข้อ)","สิ่งนี้จะมีประโยชน์แค่ไหน? ""เครื่องมือ AI ที่ช่วยคุณเลือกการทดสอบแคมเปญที่จะดำเนินการต่อไป อธิบายเหตุผล บอกเมตริกที่คุณควรดู และช่วยให้คุณเรียนรู้จากผลลัพธ์""","ส่วนใดที่ฟังดูมีประโยชน์ที่สุด? (เลือกได้หลายข้อ)","ส่วนใดที่ฟังดูมีประโยชน์น้อยที่สุดหรือไม่ชัดเจน?","อธิบายถึงครั้งสุดท้ายที่คุณรู้สึกไม่แน่ใจว่าจะทดสอบโฆษณาหรือแคมเปญใดต่อไป","หากคุณสามารถมีผู้ช่วยคนเดียวสำหรับการทดสอบแคมเปญ คุณต้องการให้เขาทำอะไร?"
"2026/05/07 10:30:14 PM GMT+7","เจ้าของธุรกิจขนาดเล็ก (จัดการโฆษณาด้วยตนเอง) (Small business owner (self-managed ads))","รายเดือน (Monthly)","Meta Ads","การสร้างโอกาสในการขาย (Leads)","วัตถุประสงค์ของแคมเปญ (Campaign objective)","ผลลัพธ์แคมเปญที่ผ่านมา (Past campaign results);โฆษณาของคู่แข่ง (Competitor ads);คำขอจากลูกค้า / เจ้านาย (Client / boss request);สัญชาตญาณ (Intuition);ข้อเสนอแนะจากเครื่องมือ AI (AI tool suggestion)","ไม่รู้ว่าจะใช้ช่องทางใด (Knowing which channel to use)","4","","","ค่าใช้จ่าย / การแสดงผล / การเข้าถึง (Spend / Impressions / Reach);การคลิก / CTR / CPC (Clicks / CTR / CPC);โอกาสในการขาย / ต้นทุนต่อโอกาสในการขาย (Leads / Cost per lead);ยอดขาย / ROAS (Sales / ROAS);การจอง / ข้อความ (Bookings / Messages)","คลิกและยอดขาย","สเปรดชีต (Spreadsheet)","หยุดแคมเปญ (Stop the campaign)","เสมอ (Always)","ใช่ (Yes)","ข้อความโฆษณา / แนวคิดสร้างสรรค์ (Ad copy / Creative ideas);การวางแผน / กลยุทธ์แคมเปญ (Campaign planning / Strategy)","การวิเคราะห์ภาพกว้าง","AI ไม่ทราบพฤติกรรมลูกค้าได้ถูกต้อง","เหตุผล / ตรรกะ (กลุ่มเป้าหมาย, ข้อเสนอ, ชิ้นงานโฆษณา, หรือช่องทาง) (Reasoning / Logic (Audience, Offer, Creative, or Channel));เมตริกความสำเร็จ / ข้อมูลผลลัพธ์ที่ผ่านมา (Success metrics / Past result data)","5","การสร้างโครงสร้างแคมเปญ (Building campaign structure);การระบุเมตริกที่ต้องดู (Identifying metrics to watch)","","","ทำแคมเปญตั้งแต่เริ่มต้น จนจบ และวัดผลได้"
"2026/05/08 12:06:08 PM GMT+7","นักการตลาดที่เน้นประสิทธิภาพ (Performance marketer)","รายสัปดาห์ (Weekly)","Meta Ads;Google Ads;TikTok Ads;LinkedIn Ads;อื่น ๆ (Other)","ยอดขาย (Sales)","ช่องทาง (Channel)","ผลลัพธ์แคมเปญที่ผ่านมา (Past campaign results);โฆษณาของคู่แข่ง (Competitor ads);คำขอจากลูกค้า / เจ้านาย (Client / boss request);สัญชาตญาณ (Intuition);ข้อเสนอแนะจากเครื่องมือ AI (AI tool suggestion);การสนทนากับเอเจนซี่ / ทีม (Agency / team discussion);คำแนะนำจากแพลตฟอร์ม (Meta / Google) (Platform recommendation (Meta / Google))","ข้อมูลไม่เพียงพอ (Not enough data)","4","เมื่อรู้สึกว่าต้องการให้มี คนกลางมันช่วยตัดสินใจ อีกที เช่น AW, Targeting แบบไหนควรจะรันต่อ ก็จะเริ่มทำ Testing ทันที ","หลังจากทำ Test แล้ว result ออกมาใกล้เคียงกันเกินไป เช่น Campaign A - Campaign B ที่นำมาทำ Test ตัวเลข result ไม่ได้เห็นความแตกต่างกันมาก ","ค่าใช้จ่าย / การแสดงผล / การเข้าถึง (Spend / Impressions / Reach);การคลิก / CTR / CPC (Clicks / CTR / CPC);โอกาสในการขาย / ต้นทุนต่อโอกาสในการขาย (Leads / Cost per lead);ยอดขาย / ROAS (Sales / ROAS);การจอง / ข้อความ (Bookings / Messages);อัตราการแปลง / คุณภาพโอกาสในการขาย (Conversion rate / Lead quality)","Cost per ต่าง ลดลง , rate% ต่างๆเพิ่มขึ้น","สเปรดชีต (Spreadsheet)","อื่น ๆ (Other)","เสมอ (Always)","ใช่ (Yes)","ข้อความโฆษณา / แนวคิดสร้างสรรค์ (Ad copy / Creative ideas);การวางแผน / กลยุทธ์แคมเปญ (Campaign planning / Strategy);แนวคิดกลุ่มเป้าหมาย / ข้อเสนอ (Audience / Offer ideas);การรายงาน (Reporting);อื่น ๆ (Other)","idea ในการ optimize campaign เพิ่มเติม ","confidentail ของสิงที่ถามไปต่างๆ กลัวข้อมูลที่ไม่ต้องการจะเผยแพร่หลุดออกไป","เหตุผล / ตรรกะ (กลุ่มเป้าหมาย, ข้อเสนอ, ชิ้นงานโฆษณา, หรือช่องทาง) (Reasoning / Logic (Audience, Offer, Creative, or Channel));เมตริกความสำเร็จ / ข้อมูลผลลัพธ์ที่ผ่านมา (Success metrics / Past result data);คะแนนความมั่นใจ (Confidence score);ตัวอย่างแคมเปญ (Example campaign)","4","การอธิบายว่าทำไมการทดสอบจึงสมเหตุสมผล (Explaining why the test makes sense);การแนะนำมุมมองเชิงสร้างสรรค์/ข้อความ (Suggesting creative/message angles);การบันทึกผลลัพธ์ / การเรียนรู้ว่าอะไรได้ผล (Logging results / Learning what worked);การแนะนำการทดสอบครั้งต่อไป (Recommending the next test)","-","-","ช่วย Report performance campaign รายวัน , focus เจาะเฉพาะจุดที่มี issue ,  suggestion idea เพิ่มเติม"
"2026/05/08 1:28:33 PM GMT+7","อื่น ๆ (Other)","ไม่บ่อยนัก (Rarely)","โซเชียลมีเดียแบบทั่วไป (Organic social);อื่น ๆ (Other)","ยอดขาย (Sales)","งบประมาณ (Budget)","ผลลัพธ์แคมเปญที่ผ่านมา (Past campaign results);ข้อเสนอแนะจากเครื่องมือ AI (AI tool suggestion)","ไม่รู้ว่าจะทดสอบมุมมองเชิงสร้างสรรค์ใด (Knowing which creative angle to test)","3","-","ราคา","ค่าใช้จ่าย / การแสดงผล / การเข้าถึง (Spend / Impressions / Reach);การคลิก / CTR / CPC (Clicks / CTR / CPC);ยอดขาย / ROAS (Sales / ROAS)","จำนวนคนที่เห็นแคมเปญ และจำนวนคนที่เข้ามาดู การจอง/ซื้อ","สเปรดชีต (Spreadsheet)","เปลี่ยนข้อความ (Change the message)","บ่อยครั้ง (Often)","ใช่ (Yes)","ข้อความโฆษณา / แนวคิดสร้างสรรค์ (Ad copy / Creative ideas);การวางแผน / กลยุทธ์แคมเปญ (Campaign planning / Strategy);การรายงาน (Reporting)","มีสถิติ","ซ้ำ","เมตริกความสำเร็จ / ข้อมูลผลลัพธ์ที่ผ่านมา (Success metrics / Past result data)","4","การอธิบายว่าทำไมการทดสอบจึงสมเหตุสมผล (Explaining why the test makes sense);การระบุเมตริกที่ต้องดู (Identifying metrics to watch);การบันทึกผลลัพธ์ / การเรียนรู้ว่าอะไรได้ผล (Logging results / Learning what worked)","-","-","-"
"2026/05/10 8:44:08 AM GMT+7","ผู้จัดการฝ่ายการตลาด (Marketing manager)","รายเดือน (Monthly)","Meta Ads;Google Ads;อินฟลูเอนเซอร์ / ครีเอเตอร์ (Influencer / creator)","การรับรู้ถึงแบรนด์ (Brand awareness)","กลุ่มเป้าหมาย (Audience)","ผลลัพธ์แคมเปญที่ผ่านมา (Past campaign results)","มีแนวคิดที่เป็นไปได้มากเกินไป (Too many possible ideas)","4","ยอดขาย","Budget","ค่าใช้จ่าย / การแสดงผล / การเข้าถึง (Spend / Impressions / Reach);การคลิก / CTR / CPC (Clicks / CTR / CPC);ยอดขาย / ROAS (Sales / ROAS)","ยอดขาย","บันทึกในแพลตฟอร์มโฆษณา (Ad platform notes)","ขอคำแนะนำ (จากบุคคลหรือ AI) (Ask for advice (Person or AI))","บางครั้ง (Sometimes)","ใช่ (Yes)","การวางแผน / กลยุทธ์แคมเปญ (Campaign planning / Strategy);แนวคิดกลุ่มเป้าหมาย / ข้อเสนอ (Audience / Offer ideas)","มีโครงสร้างที่ดี","คำตอบเหมือนๆก้น","เหตุผล / ตรรกะ (กลุ่มเป้าหมาย, ข้อเสนอ, ชิ้นงานโฆษณา, หรือช่องทาง) (Reasoning / Logic (Audience, Offer, Creative, or Channel));เมตริกความสำเร็จ / ข้อมูลผลลัพธ์ที่ผ่านมา (Success metrics / Past result data)","4","การบันทึกผลลัพธ์ / การเรียนรู้ว่าอะไรได้ผล (Logging results / Learning what worked)","","-","แสดงผลลัพธ์การทดสอบและวิเคราะห์เปรียบเทียบแคมเปญ"
"2026/05/11 3:47:51 PM GMT+7","เจ้าของ/นักวางแผนกลยุทธ์เอเจนซี่ (Agency owner / strategist)","ไม่บ่อยนัก (Rarely)","Meta Ads;Google Ads;TikTok Ads;อินฟลูเอนเซอร์ / ครีเอเตอร์ (Influencer / creator)","ยอดขาย (Sales)","กลุ่มเป้าหมาย (Audience)","ผลลัพธ์แคมเปญที่ผ่านมา (Past campaign results)","ไม่รู้ว่าจะทดสอบกลุ่มเป้าหมายใด (Knowing which audience to test)","4","","","ยอดขาย / ROAS (Sales / ROAS)","","สไลด์เด็ค / รายงาน (Slide deck / report)","เปลี่ยนกลุ่มเป้าหมาย (Change the audience)","บางครั้ง (Sometimes)","ใช่ (Yes)","การวางแผน / กลยุทธ์แคมเปญ (Campaign planning / Strategy)","","","เหตุผล / ตรรกะ (กลุ่มเป้าหมาย, ข้อเสนอ, ชิ้นงานโฆษณา, หรือช่องทาง) (Reasoning / Logic (Audience, Offer, Creative, or Channel))","4","การเลือกสิ่งที่จะทดสอบต่อไป (Choosing what to test next)","","",""
"2026/05/13 9:57:57 AM GMT+7","เจ้าของ/นักวางแผนกลยุทธ์เอเจนซี่ (Agency owner / strategist)","รายเดือน (Monthly)","Meta Ads;อินฟลูเอนเซอร์ / ครีเอเตอร์ (Influencer / creator)","ยอดขาย (Sales)","งบประมาณ (Budget)","ผลลัพธ์แคมเปญที่ผ่านมา (Past campaign results);สัญชาตญาณ (Intuition)","มีแนวคิดที่เป็นไปได้มากเกินไป (Too many possible ideas)","3","เป้าหมายชัดเจน KPI วัดผลได้","ไม่ตรงกับกลุ่มลูกค้า","ค่าใช้จ่าย / การแสดงผล / การเข้าถึง (Spend / Impressions / Reach);การคลิก / CTR / CPC (Clicks / CTR / CPC)","KPI ตรงกับที่ตั้งไว้","สเปรดชีต (Spreadsheet)","เปลี่ยนชิ้นงานโฆษณา (Change the creative);เปลี่ยนข้อความ (Change the message);หยุดแคมเปญ (Stop the campaign)","บ่อยครั้ง (Often)","ใช่ (Yes)","ข้อความโฆษณา / แนวคิดสร้างสรรค์ (Ad copy / Creative ideas);การวางแผน / กลยุทธ์แคมเปญ (Campaign planning / Strategy);แนวคิดกลุ่มเป้าหมาย / ข้อเสนอ (Audience / Offer ideas);การรายงาน (Reporting)","ช่วยให้ทำงานได้เร็วขึ้น","เราต้องนำข้อมูลมาตัดสินใจเองอีกครั้ง","เหตุผล / ตรรกะ (กลุ่มเป้าหมาย, ข้อเสนอ, ชิ้นงานโฆษณา, หรือช่องทาง) (Reasoning / Logic (Audience, Offer, Creative, or Channel))","5","การเลือกสิ่งที่จะทดสอบต่อไป (Choosing what to test next);การอธิบายว่าทำไมการทดสอบจึงสมเหตุสมผล (Explaining why the test makes sense);การสร้างโครงสร้างแคมเปญ (Building campaign structure);การแนะนำมุมมองเชิงสร้างสรรค์/ข้อความ (Suggesting creative/message angles);การระบุเมตริกที่ต้องดู (Identifying metrics to watch);การบันทึกผลลัพธ์ / การเรียนรู้ว่าอะไรได้ผล (Logging results / Learning what worked);การแนะนำการทดสอบครั้งต่อไป (Recommending the next test)","","งบประมาณที่ต้องใช้มากเกินไป","วิเคราะห์ข้อมูลเชิงลึกและสรุปผล"
"2026/05/13 10:12:37 AM GMT+7","เจ้าของธุรกิจขนาดเล็ก (จัดการโฆษณาด้วยตนเอง) (Small business owner (self-managed ads))","รายเดือน (Monthly)","Meta Ads;TikTok Ads;โซเชียลมีเดียแบบทั่วไป (Organic social)","ยอดขาย (Sales)","แนวคิดสร้างสรรค์ (Creative idea)","ผลลัพธ์แคมเปญที่ผ่านมา (Past campaign results);โฆษณาของคู่แข่ง (Competitor ads)","ไม่รู้ว่าจะทดสอบข้อเสนอใด (Knowing which offer to test)","4","ความเข้าใจระบบ ads จะพยามไม่ให้แอดตั่งค่าเองจะตั่งเองหมดเพื่อไม่ให้ ads ทำงานจริงๆ","ไม่มีนะครับ","ค่าใช้จ่าย / การแสดงผล / การเข้าถึง (Spend / Impressions / Reach);การคลิก / CTR / CPC (Clicks / CTR / CPC);โอกาสในการขาย / ต้นทุนต่อโอกาสในการขาย (Leads / Cost per lead);ยอดขาย / ROAS (Sales / ROAS)","ผลลัพธ์+การเข้าถึง อัตราการกินงบคุมไหม","สเปรดชีต (Spreadsheet)","เปลี่ยนกลุ่มเป้าหมาย (Change the audience);เปลี่ยนชิ้นงานโฆษณา (Change the creative)","เสมอ (Always)","ไม่ (No)","","","","เหตุผล / ตรรกะ (กลุ่มเป้าหมาย, ข้อเสนอ, ชิ้นงานโฆษณา, หรือช่องทาง) (Reasoning / Logic (Audience, Offer, Creative, or Channel))","1","การเลือกสิ่งที่จะทดสอบต่อไป (Choosing what to test next);การสร้างโครงสร้างแคมเปญ (Building campaign structure);การแนะนำมุมมองเชิงสร้างสรรค์/ข้อความ (Suggesting creative/message angles);การบันทึกผลลัพธ์ / การเรียนรู้ว่าอะไรได้ผล (Logging results / Learning what worked)","การสร้างโคตรสร้างแคมเปญ","กลุ่มเป๋าหมาย","กลุ่มเป้าหมายใหม่+พัฒนาตามเวอร์ชั่นใหม่ตลอด"
"2026/05/13 8:06:08 PM GMT+7","ผู้จัดการฝ่ายการตลาด (Marketing manager)","รายสัปดาห์ (Weekly)","Meta Ads;TikTok Ads","ข้อความ (Messages)","วัตถุประสงค์ของแคมเปญ (Campaign objective)","ผลลัพธ์แคมเปญที่ผ่านมา (Past campaign results)","ข้อมูลไม่เพียงพอ (Not enough data)","5","เป็นไปตาม target ที่ตั้งไว้","ไม่สร้าง value อะไรซักอย่าง ","ยอดขาย / ROAS (Sales / ROAS)","ขายได้-ไม่ได้","สเปรดชีต (Spreadsheet)","ไม่แน่ใจว่าจะเปลี่ยนอะไร (Not sure what to change)","เสมอ (Always)","ใช่ (Yes)","การวางแผน / กลยุทธ์แคมเปญ (Campaign planning / Strategy);การรายงาน (Reporting)","การอ่านรีพอร์ท","ถ้าเทรนไม่ดี AI ก็ไม่ฉลาดพอ","เหตุผล / ตรรกะ (กลุ่มเป้าหมาย, ข้อเสนอ, ชิ้นงานโฆษณา, หรือช่องทาง) (Reasoning / Logic (Audience, Offer, Creative, or Channel));เมตริกความสำเร็จ / ข้อมูลผลลัพธ์ที่ผ่านมา (Success metrics / Past result data);ตัวอย่างแคมเปญ (Example campaign)","3","การระบุเมตริกที่ต้องดู (Identifying metrics to watch);การบันทึกผลลัพธ์ / การเรียนรู้ว่าอะไรได้ผล (Logging results / Learning what worked)","เรียนรู้จากข้อมูลที่ป้อนให้ จนบางครั้งก็ไม่ได้นำเสนออะไรใหม่","ถ้าใช้ ai ตอนนี้ก็คงระบบค่อนข้างแกว่ง บางวันดีบางวันร้าย ทั้งที่ใช้แคมเปญเดิม","อ่านรีพอร์ท"
"2026/05/13 8:42:35 PM GMT+7","เจ้าของธุรกิจขนาดเล็ก (จัดการโฆษณาด้วยตนเอง) (Small business owner (self-managed ads))","","Meta Ads;โซเชียลมีเดียแบบทั่วไป (Organic social)","ยอดขาย (Sales)","กลุ่มเป้าหมาย (Audience)","ผลลัพธ์แคมเปญที่ผ่านมา (Past campaign results);โฆษณาของคู่แข่ง (Competitor ads);คำขอจากลูกค้า / เจ้านาย (Client / boss request);สัญชาตญาณ (Intuition);ข้อเสนอแนะจากเครื่องมือ AI (AI tool suggestion);การสนทนากับเอเจนซี่ / ทีม (Agency / team discussion);คำแนะนำจากแพลตฟอร์ม (Meta / Google) (Platform recommendation (Meta / Google));อื่น ๆ (Other)","ไม่รู้ว่าจะทดสอบกลุ่มเป้าหมายใด (Knowing which audience to test)","4","","","ค่าใช้จ่าย / การแสดงผล / การเข้าถึง (Spend / Impressions / Reach);โอกาสในการขาย / ต้นทุนต่อโอกาสในการขาย (Leads / Cost per lead);ยอดขาย / ROAS (Sales / ROAS);การจอง / ข้อความ (Bookings / Messages)","ผลประกอบการ","Notion / เอกสาร (Notion / document)","เปลี่ยนกลุ่มเป้าหมาย (Change the audience);เปลี่ยนข้อความ (Change the message);หยุดแคมเปญ (Stop the campaign);ขอคำแนะนำ (จากบุคคลหรือ AI) (Ask for advice (Person or AI));อื่น ๆ (Other)","เสมอ (Always)","ใช่ (Yes)","ข้อความโฆษณา / แนวคิดสร้างสรรค์ (Ad copy / Creative ideas);การวางแผน / กลยุทธ์แคมเปญ (Campaign planning / Strategy);แนวคิดกลุ่มเป้าหมาย / ข้อเสนอ (Audience / Offer ideas);การรายงาน (Reporting);อื่น ๆ (Other)","","","เหตุผล / ตรรกะ (กลุ่มเป้าหมาย, ข้อเสนอ, ชิ้นงานโฆษณา, หรือช่องทาง) (Reasoning / Logic (Audience, Offer, Creative, or Channel));เมตริกความสำเร็จ / ข้อมูลผลลัพธ์ที่ผ่านมา (Success metrics / Past result data);คะแนนความมั่นใจ (Confidence score);ตัวอย่างแคมเปญ (Example campaign);ความสามารถในการแก้ไขคำแนะนำ (Ability to edit the recommendation);อื่น ๆ (Other)","5","การเลือกสิ่งที่จะทดสอบต่อไป (Choosing what to test next);การอธิบายว่าทำไมการทดสอบจึงสมเหตุสมผล (Explaining why the test makes sense);การสร้างโครงสร้างแคมเปญ (Building campaign structure);การแนะนำมุมมองเชิงสร้างสรรค์/ข้อความ (Suggesting creative/message angles);การระบุเมตริกที่ต้องดู (Identifying metrics to watch);การบันทึกผลลัพธ์ / การเรียนรู้ว่าอะไรได้ผล (Logging results / Learning what worked);การแนะนำการทดสอบครั้งต่อไป (Recommending the next test)","","",""
"2026/05/13 9:05:46 PM GMT+7","เจ้าของธุรกิจขนาดเล็ก (จัดการโฆษณาด้วยตนเอง) (Small business owner (self-managed ads))","รายสัปดาห์ (Weekly)","Meta Ads","ยอดขาย (Sales)","ข้อความ (Message)","ผลลัพธ์แคมเปญที่ผ่านมา (Past campaign results)","ไม่รู้ว่าจะทดสอบข้อความใด (Knowing which message to test)","1","","","ยอดขาย / ROAS (Sales / ROAS)","","ประวัติการแชท (Chat history)","เปลี่ยนชิ้นงานโฆษณา (Change the creative)","เสมอ (Always)","ใช่ (Yes)","แนวคิดกลุ่มเป้าหมาย / ข้อเสนอ (Audience / Offer ideas)","","","ความสามารถในการแก้ไขคำแนะนำ (Ability to edit the recommendation)","3","การแนะนำมุมมองเชิงสร้างสรรค์/ข้อความ (Suggesting creative/message angles)","","",""
